tRNA_NucTransf2	8	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria	1	Archaea
DUF2800	3	Firmicutes,Halobacteria,Chloroflexi	2	Bacteria,Archaea
DUF2802	1	Proteobacteria	1	Bacteria
DUF2804	5	Actinobacteria,Spirochaetes,Proteobacteria,Halobacteria,Thermotogae	2	Bacteria,Archaea
DUF2805	5	Cyanobacteria,Bacteroidetes,Ignavibacteriae,Proteobacteria,Firmicutes	1	Bacteria
DUF2806	2	Cyanobacteria,Proteobacteria	1	Bacteria
DUF2807	7	Proteobacteria,Bacteroidetes,Chloroflexi,Methanomicrobia,Cyanobacteria,Methanobacteria,Actinobacteria	2	Bacteria,Archaea
Urocanase_N	19	Thermoprotei,Thermoplasmata,Proteobacteria,Chlamydiae,Halobacteria,Acidobacteria,Actinobacteria,Chloroflexi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Cyanobacteria,Methanomicrobia,Planctomycetes,Rhodothermaeota	2	Archaea,Bacteria
Urocanase_C	19	Thermoprotei,Thermoplasmata,Proteobacteria,Chlamydiae,Halobacteria,Acidobacteria,Actinobacteria,Chloroflexi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Cyanobacteria,Methanomicrobia,Planctomycetes,Rhodothermaeota	2	Archaea,Bacteria
RuvC_III	6	Ignavibacteriae,Actinobacteria,Tenericutes,Firmicutes,Planctomycetes,Proteobacteria	1	Bacteria
ToxN_toxin	2	Fusobacteria,Firmicutes	1	Bacteria
CopK	1	Proteobacteria	1	Bacteria
AidB_N	8	Actinobacteria,Chloroflexi,Thermoprotei,Halobacteria,Proteobacteria,Thermoplasmata,Firmicutes,Deinococcus-Thermus	2	Bacteria,Archaea
GT-D	2	Methanomicrobia,Proteobacteria	2	Archaea,Bacteria
MerT	3	Proteobacteria,Bacteroidetes,Ignavibacteriae	1	Bacteria
DHDPS	24	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Bacteroidetes,Fusobacteria,Firmicutes,Planctomycetes,Spirochaetes,Aquificae,Rhodothermaeota,Deinococcus-Thermus	2	Archaea,Bacteria
MerB	5	Actinobacteria,Halobacteria,Thermoprotei,Chloroflexi,Methanomicrobia	2	Bacteria,Archaea
MerC	3	Proteobacteria,Bacteroidetes,Acidobacteria	1	Bacteria
MerE	3	Actinobacteria,Chloroflexi,Proteobacteria	1	Bacteria
RLI	8	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria	1	Archaea
SepRS_C	3	Methanomicrobia,Archaeoglobi,Methanobacteria	1	Archaea
VirE_N	2	Planctomycetes,Bacteroidetes	1	Bacteria
Trns_repr_metal	15	Actinobacteria,Chlamydiae,Cyanobacteria,Chloroflexi,Chlorobi,Proteobacteria,Methanobacteria,Thermotogae,Deinococcus-Thermus,Firmicutes,Acidobacteria,Planctomycetes,Bacteroidetes,Methanomicrobia,Thermoplasmata	2	Bacteria,Archaea
PAP2_3	12	Halobacteria,Methanomicrobia,Thermococci,Acidobacteria,Chloroflexi,Actinobacteria,Tenericutes,Thermoprotei,Proteobacteria,Ignavibacteriae,Firmicutes,Aquificae	2	Archaea,Bacteria
Aminopep	1	Proteobacteria	1	Bacteria
ATP-grasp	18	Thermoprotei,Halobacteria,Thermoplasmata,Thermococci,Methanomicrobia,Acidobacteria,Cyanobacteria,Actinobacteria,Chloroflexi,Chlorobi,Proteobacteria,Deinococcus-Thermus,Bacteroidetes,Ignavibacteriae,Planctomycetes,Firmicutes,Rhodothermaeota,Aquificae	2	Archaea,Bacteria
RGI_lyase	5	Chloroflexi,Halobacteria,Bacteroidetes,Actinobacteria,Proteobacteria	2	Bacteria,Archaea
DUF1858	17	Actinobacteria,Methanomicrobia,Acidobacteria,Chloroflexi,Thermococci,Archaeoglobi,Proteobacteria,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Thermoplasmata,Planctomycetes,Bacteroidetes,Methanobacteria,Thermotogae,Deinococcus-Thermus	2	Bacteria,Archaea
NLPC_P60	19	Actinobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Halobacteria,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Firmicutes,Ignavibacteriae,Planctomycetes,Thermotogae,Methanomicrobia,Rhodothermaeota,Aquificae	2	Bacteria,Archaea
Flagellin_IN	6	Proteobacteria,Planctomycetes,Actinobacteria,Spirochaetes,Thermotogae,Firmicutes	1	Bacteria
TGase_elicitor	1	Proteobacteria	1	Bacteria
DUF4402	2	Proteobacteria,Firmicutes	1	Bacteria
DUF4403	4	Chlorobi,Deinococcus-Thermus,Proteobacteria,Bacteroidetes	1	Bacteria
WhiA_N	4	Actinobacteria,Tenericutes,Fusobacteria,Firmicutes	1	Bacteria
DUF4401	2	Chloroflexi,Proteobacteria	1	Bacteria
DUF4154	3	Proteobacteria,Acidobacteria,Bacteroidetes	1	Bacteria
DUF4407	3	Chlorobi,Bacteroidetes,Actinobacteria	1	Bacteria
DUF4404	2	Chlorobi,Proteobacteria	1	Bacteria
AbiJ_NTD5	2	Actinobacteria,Halobacteria	2	Bacteria,Archaea
DUF4158	6	Proteobacteria,Cyanobacteria,Chloroflexi,Actinobacteria,Rhodothermaeota,Bacteroidetes	1	Bacteria
DUF4159	7	Acidobacteria,Proteobacteria,Bacteroidetes,Ignavibacteriae,Planctomycetes,Cyanobacteria,Rhodothermaeota	1	Bacteria
Oxidored_q2	22	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Proteobacteria,Chlamydiae,Thermococci,Acidobacteria,Cyanobacteria,Actinobacteria,Chloroflexi,Chlorobi,Methanobacteria,Thermotogae,Deinococcus-Thermus,Archaeoglobi,Bacteroidetes,Ignavibacteriae,Planctomycetes,Firmicutes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
PTS_IIA	4	Tenericutes,Spirochaetes,Firmicutes,Proteobacteria	1	Bacteria
eIF-1a	26	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Tenericutes,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
DUF1659	1	Firmicutes	1	Bacteria
DUF1654	1	Proteobacteria	1	Bacteria
Ribosomal_L38e	1	Thermoprotei	1	Archaea
DUF1656	1	Proteobacteria	1	Bacteria
DUF1657	1	Firmicutes	1	Bacteria
MethyTransf_Reg	7	Acidobacteria,Cyanobacteria,Proteobacteria,Fusobacteria,Chloroflexi,Firmicutes,Planctomycetes	1	Bacteria
HEAT	11	Methanomicrobia,Thermococci,Acidobacteria,Cyanobacteria,Archaeoglobi,Halobacteria,Chloroflexi,Proteobacteria,Thermotogae,Methanobacteria,Bacteroidetes	2	Archaea,Bacteria
Prim_Zn_Ribbon	3	Chloroflexi,Proteobacteria,Halobacteria	2	Bacteria,Archaea
hDGE_amylase	1	Proteobacteria	1	Bacteria
